ccaa;ccaa_2;nacionalidad;anio;edad_media;ind_fecundidad
12 Galicia;Galicia;espanola;1990;;
12 Galicia;Galicia;espanola;1989;;
12 Galicia;Galicia;espanola;1988;;
12 Galicia;Galicia;espanola;1987;;
12 Galicia;Galicia;espanola;1986;;
12 Galicia;Galicia;espanola;1985;;
12 Galicia;Galicia;espanola;1984;;
12 Galicia;Galicia;espanola;1983;;
12 Galicia;Galicia;espanola;1982;;
12 Galicia;Galicia;espanola;1981;;
12 Galicia;Galicia;espanola;1980;;
12 Galicia;Galicia;espanola;1979;;
12 Galicia;Galicia;espanola;1978;;
12 Galicia;Galicia;espanola;1977;;
12 Galicia;Galicia;espanola;1976;;
12 Galicia;Galicia;espanola;1975;;
12 Galicia;Galicia;extranjera;2020;29.79;1.28
12 Galicia;Galicia;extranjera;2019;29.63;1.4
12 Galicia;Galicia;extranjera;2018;29.42;1.41
12 Galicia;Galicia;extranjera;2017;29.27;1.45
12 Galicia;Galicia;extranjera;2016;29.11;1.38
12 Galicia;Galicia;extranjera;2015;28.45;1.3
12 Galicia;Galicia;extranjera;2014;28.77;1.35
12 Galicia;Galicia;extranjera;2013;28.59;1.28
12 Galicia;Galicia;extranjera;2012;28.16;1.34
12 Galicia;Galicia;extranjera;2011;28.72;1.27
12 Galicia;Galicia;extranjera;2010;28.44;1.45
12 Galicia;Galicia;extranjera;2009;28.32;1.47
12 Galicia;Galicia;extranjera;2008;28.06;1.53
12 Galicia;Galicia;extranjera;2007;27.83;1.4
12 Galicia;Galicia;extranjera;2006;28.19;1.32
12 Galicia;Galicia;extranjera;2005;28.14;1.41
12 Galicia;Galicia;extranjera;2004;28.01;1.46
12 Galicia;Galicia;extranjera;2003;28.12;1.49
12 Galicia;Galicia;extranjera;2002;28.35;1.42
12 Galicia;Galicia;extranjera;2001;;
12 Galicia;Galicia;extranjera;2000;;
12 Galicia;Galicia;extranjera;1999;;
12 Galicia;Galicia;extranjera;1998;;
12 Galicia;Galicia;extranjera;1997;;
12 Galicia;Galicia;extranjera;1996;;
12 Galicia;Galicia;extranjera;1995;;
12 Galicia;Galicia;extranjera;1994;;
12 Galicia;Galicia;extranjera;1993;;
12 Galicia;Galicia;extranjera;1992;;
12 Galicia;Galicia;extranjera;1991;;
12 Galicia;Galicia;extranjera;1990;;
12 Galicia;Galicia;extranjera;1989;;
12 Galicia;Galicia;extranjera;1988;;
12 Galicia;Galicia;extranjera;1987;;
12 Galicia;Galicia;extranjera;1986;;
12 Galicia;Galicia;extranjera;1985;;
12 Galicia;Galicia;extranjera;1984;;
12 Galicia;Galicia;extranjera;1983;;
12 Galicia;Galicia;extranjera;1982;;
12 Galicia;Galicia;extranjera;1981;;
12 Galicia;Galicia;extranjera;1980;;
12 Galicia;Galicia;extranjera;1979;;
12 Galicia;Galicia;extranjera;1978;;
12 Galicia;Galicia;extranjera;1977;;
12 Galicia;Galicia;extranjera;1976;;
12 Galicia;Galicia;extranjera;1975;;
13 Madrid, Comunidad de;Madrid, Comunidad de;ambas;2020;33.07;1.15
13 Madrid, Comunidad de;Madrid, Comunidad de;ambas;2019;32.98;1.23
13 Madrid, Comunidad de;Madrid, Comunidad de;ambas;2018;32.88;1.27
13 Madrid, Comunidad de;Madrid, Comunidad de;ambas;2017;32.74;1.33
13 Madrid, Comunidad de;Madrid, Comunidad de;ambas;2016;32.65;1.36
13 Madrid, Comunidad de;Madrid, Comunidad de;ambas;2015;32.5;1.37
13 Madrid, Comunidad de;Madrid, Comunidad de;ambas;2014;32.35;1.35
13 Madrid, Comunidad de;Madrid, Comunidad de;ambas;2013;32.23;1.3
13 Madrid, Comunidad de;Madrid, Comunidad de;ambas;2012;32.09;1.33
13 Madrid, Comunidad de;Madrid, Comunidad de;ambas;2011;32;1.35
13 Madrid, Comunidad de;Madrid, Comunidad de;ambas;2010;31.8;1.37
13 Madrid, Comunidad de;Madrid, Comunidad de;ambas;2009;31.57;1.4
13 Madrid, Comunidad de;Madrid, Comunidad de;ambas;2008;31.28;1.45
13 Madrid, Comunidad de;Madrid, Comunidad de;ambas;2007;31.31;1.4
13 Madrid, Comunidad de;Madrid, Comunidad de;ambas;2006;31.38;1.36
13 Madrid, Comunidad de;Madrid, Comunidad de;ambas;2005;31.46;1.32
13 Madrid, Comunidad de;Madrid, Comunidad de;ambas;2004;31.42;1.34
13 Madrid, Comunidad de;Madrid, Comunidad de;ambas;2003;31.39;1.32
13 Madrid, Comunidad de;Madrid, Comunidad de;ambas;2002;31.37;1.28
13 Madrid, Comunidad de;Madrid, Comunidad de;ambas;2001;31.47;1.26
13 Madrid, Comunidad de;Madrid, Comunidad de;ambas;2000;31.52;1.21
13 Madrid, Comunidad de;Madrid, Comunidad de;ambas;1999;31.53;1.12
13 Madrid, Comunidad de;Madrid, Comunidad de;ambas;1998;31.48;1.07
13 Madrid, Comunidad de;Madrid, Comunidad de;ambas;1997;31.24;1.09
13 Madrid, Comunidad de;Madrid, Comunidad de;ambas;1996;31.05;1.08
13 Madrid, Comunidad de;Madrid, Comunidad de;ambas;1995;30.82;1.09
13 Madrid, Comunidad de;Madrid, Comunidad de;ambas;1994;30.52;1.13
13 Madrid, Comunidad de;Madrid, Comunidad de;ambas;1993;30.2;1.2
13 Madrid, Comunidad de;Madrid, Comunidad de;ambas;1992;29.97;1.25
13 Madrid, Comunidad de;Madrid, Comunidad de;ambas;1991;29.71;1.24
13 Madrid, Comunidad de;Madrid, Comunidad de;ambas;1990;29.53;1.27
13 Madrid, Comunidad de;Madrid, Comunidad de;ambas;1989;29.33;1.31
13 Madrid, Comunidad de;Madrid, Comunidad de;ambas;1988;29.14;1.34
13 Madrid, Comunidad de;Madrid, Comunidad de;ambas;1987;29.08;1.41
13 Madrid, Comunidad de;Madrid, Comunidad de;ambas;1986;29;1.46
13 Madrid, Comunidad de;Madrid, Comunidad de;ambas;1985;28.91;1.54
13 Madrid, Comunidad de;Madrid, Comunidad de;ambas;1984;28.81;1.63
13 Madrid, Comunidad de;Madrid, Comunidad de;ambas;1983;28.67;1.68
13 Madrid, Comunidad de;Madrid, Comunidad de;ambas;1982;28.63;1.83
13 Madrid, Comunidad de;Madrid, Comunidad de;ambas;1981;28.55;1.95
13 Madrid, Comunidad de;Madrid, Comunidad de;ambas;1980;28.45;2.1
13 Madrid, Comunidad de;Madrid, Comunidad de;ambas;1979;28.46;2.34
13 Madrid, Comunidad de;Madrid, Comunidad de;ambas;1978;28.55;2.55
13 Madrid, Comunidad de;Madrid, Comunidad de;ambas;1977;28.57;2.73
13 Madrid, Comunidad de;Madrid, Comunidad de;ambas;1976;28.62;2.93
13 Madrid, Comunidad de;Madrid, Comunidad de;ambas;1975;28.89;2.91
13 Madrid, Comunidad de;Madrid, Comunidad de;espanola;2020;33.73;1.12
13 Madrid, Comunidad de;Madrid, Comunidad de;espanola;2019;33.65;1.17
13 Madrid, Comunidad de;Madrid, Comunidad de;espanola;2018;33.53;1.2
13 Madrid, Comunidad de;Madrid, Comunidad de;espanola;2017;33.4;1.26
13 Madrid, Comunidad de;Madrid, Comunidad de;espanola;2016;33.29;1.3
13 Madrid, Comunidad de;Madrid, Comunidad de;espanola;2015;33.15;1.32
13 Madrid, Comunidad de;Madrid, Comunidad de;espanola;2014;33.05;1.29
13 Madrid, Comunidad de;Madrid, Comunidad de;espanola;2013;33;1.25
13 Madrid, Comunidad de;Madrid, Comunidad de;espanola;2012;32.96;1.29
13 Madrid, Comunidad de;Madrid, Comunidad de;espanola;2011;32.88;1.32
13 Madrid, Comunidad de;Madrid, Comunidad de;espanola;2010;32.77;1.31
13 Madrid, Comunidad de;Madrid, Comunidad de;espanola;2009;32.59;1.34
13 Madrid, Comunidad de;Madrid, Comunidad de;espanola;2008;32.47;1.35
13 Madrid, Comunidad de;Madrid, Comunidad de;espanola;2007;32.44;1.31
13 Madrid, Comunidad de;Madrid, Comunidad de;espanola;2006;32.34;1.3
13 Madrid, Comunidad de;Madrid, Comunidad de;espanola;2005;32.31;1.27
13 Madrid, Comunidad de;Madrid, Comunidad de;espanola;2004;32.23;1.28
13 Madrid, Comunidad de;Madrid, Comunidad de;espanola;2003;32.15;1.27
13 Madrid, Comunidad de;Madrid, Comunidad de;espanola;2002;32.07;1.21
13 Madrid, Comunidad de;Madrid, Comunidad de;espanola;2001;;
13 Madrid, Comunidad de;Madrid, Comunidad de;espanola;2000;;
13 Madrid, Comunidad de;Madrid, Comunidad de;espanola;1999;;
13 Madrid, Comunidad de;Madrid, Comunidad de;espanola;1998;;
13 Madrid, Comunidad de;Madrid, Comunidad de;espanola;1997;;
13 Madrid, Comunidad de;Madrid, Comunidad de;espanola;1996;;
13 Madrid, Comunidad de;Madrid, Comunidad de;espanola;1995;;
13 Madrid, Comunidad de;Madrid, Comunidad de;espanola;1994;;
13 Madrid, Comunidad de;Madrid, Comunidad de;espanola;1993;;
13 Madrid, Comunidad de;Madrid, Comunidad de;espanola;1992;;
13 Madrid, Comunidad de;Madrid, Comunidad de;espanola;1991;;
13 Madrid, Comunidad de;Madrid, Comunidad de;espanola;1990;;
13 Madrid, Comunidad de;Madrid, Comunidad de;espanola;1989;;
13 Madrid, Comunidad de;Madrid, Comunidad de;espanola;1988;;
13 Madrid, Comunidad de;Madrid, Comunidad de;espanola;1987;;
13 Madrid, Comunidad de;Madrid, Comunidad de;espanola;1986;;
13 Madrid, Comunidad de;Madrid, Comunidad de;espanola;1985;;
13 Madrid, Comunidad de;Madrid, Comunidad de;espanola;1984;;
13 Madrid, Comunidad de;Madrid, Comunidad de;espanola;1983;;
13 Madrid, Comunidad de;Madrid, Comunidad de;espanola;1982;;
13 Madrid, Comunidad de;Madrid, Comunidad de;espanola;1981;;
13 Madrid, Comunidad de;Madrid, Comunidad de;espanola;1980;;
13 Madrid, Comunidad de;Madrid, Comunidad de;espanola;1979;;
13 Madrid, Comunidad de;Madrid, Comunidad de;espanola;1978;;
13 Madrid, Comunidad de;Madrid, Comunidad de;espanola;1977;;
13 Madrid, Comunidad de;Madrid, Comunidad de;espanola;1976;;
13 Madrid, Comunidad de;Madrid, Comunidad de;espanola;1975;;
13 Madrid, Comunidad de;Madrid, Comunidad de;extranjera;2020;30.87;1.25
13 Madrid, Comunidad de;Madrid, Comunidad de;extranjera;2019;30.72;1.45
13 Madrid, Comunidad de;Madrid, Comunidad de;extranjera;2018;30.55;1.54
13 Madrid, Comunidad de;Madrid, Comunidad de;extranjera;2017;30.15;1.63
13 Madrid, Comunidad de;Madrid, Comunidad de;extranjera;2016;30.06;1.63
13 Madrid, Comunidad de;Madrid, Comunidad de;extranjera;2015;29.87;1.6
13 Madrid, Comunidad de;Madrid, Comunidad de;extranjera;2014;29.7;1.57
13 Madrid, Comunidad de;Madrid, Comunidad de;extranjera;2013;29.48;1.44
13 Madrid, Comunidad de;Madrid, Comunidad de;extranjera;2012;29.27;1.43
13 Madrid, Comunidad de;Madrid, Comunidad de;extranjera;2011;29.14;1.41
13 Madrid, Comunidad de;Madrid, Comunidad de;extranjera;2010;29.06;1.47
13 Madrid, Comunidad de;Madrid, Comunidad de;extranjera;2009;28.78;1.51
13 Madrid, Comunidad de;Madrid, Comunidad de;extranjera;2008;28.36;1.67
13 Madrid, Comunidad de;Madrid, Comunidad de;extranjera;2007;28.3;1.61
13 Madrid, Comunidad de;Madrid, Comunidad de;extranjera;2006;28.34;1.55
13 Madrid, Comunidad de;Madrid, Comunidad de;extranjera;2005;28.47;1.48
13 Madrid, Comunidad de;Madrid, Comunidad de;extranjera;2004;28.37;1.57
13 Madrid, Comunidad de;Madrid, Comunidad de;extranjera;2003;28.17;1.59
13 Madrid, Comunidad de;Madrid, Comunidad de;extranjera;2002;27.98;1.72
13 Madrid, Comunidad de;Madrid, Comunidad de;extranjera;2001;;
13 Madrid, Comunidad de;Madrid, Comunidad de;extranjera;2000;;
13 Madrid, Comunidad de;Madrid, Comunidad de;extranjera;1999;;
13 Madrid, Comunidad de;Madrid, Comunidad de;extranjera;1998;;
13 Madrid, Comunidad de;Madrid, Comunidad de;extranjera;1997;;
13 Madrid, Comunidad de;Madrid, Comunidad de;extranjera;1996;;
13 Madrid, Comunidad de;Madrid, Comunidad de;extranjera;1995;;
13 Madrid, Comunidad de;Madrid, Comunidad de;extranjera;1994;;
13 Madrid, Comunidad de;Madrid, Comunidad de;extranjera;1993;;
13 Madrid, Comunidad de;Madrid, Comunidad de;extranjera;1992;;
13 Madrid, Comunidad de;Madrid, Comunidad de;extranjera;1991;;
13 Madrid, Comunidad de;Madrid, Comunidad de;extranjera;1990;;
13 Madrid, Comunidad de;Madrid, Comunidad de;extranjera;1989;;
13 Madrid, Comunidad de;Madrid, Comunidad de;extranjera;1988;;
13 Madrid, Comunidad de;Madrid, Comunidad de;extranjera;1987;;
13 Madrid, Comunidad de;Madrid, Comunidad de;extranjera;1986;;
13 Madrid, Comunidad de;Madrid, Comunidad de;extranjera;1985;;
13 Madrid, Comunidad de;Madrid, Comunidad de;extranjera;1984;;
13 Madrid, Comunidad de;Madrid, Comunidad de;extranjera;1983;;
13 Madrid, Comunidad de;Madrid, Comunidad de;extranjera;1982;;
13 Madrid, Comunidad de;Madrid, Comunidad de;extranjera;1981;;
13 Madrid, Comunidad de;Madrid, Comunidad de;extranjera;1980;;
13 Madrid, Comunidad de;Madrid, Comunidad de;extranjera;1979;;
13 Madrid, Comunidad de;Madrid, Comunidad de;extranjera;1978;;
13 Madrid, Comunidad de;Madrid, Comunidad de;extranjera;1977;;
13 Madrid, Comunidad de;Madrid, Comunidad de;extranjera;1976;;
13 Madrid, Comunidad de;Madrid, Comunidad de;extranjera;1975;;
14 Murcia, Region de;Murcia, Region de;ambas;2020;31.57;1.45
14 Murcia, Region de;Murcia, Region de;ambas;2019;31.58;1.5
14 Murcia, Region de;Murcia, Region de;ambas;2018;31.38;1.54
14 Murcia, Region de;Murcia, Region de;ambas;2017;31.29;1.55
14 Murcia, Region de;Murcia, Region de;ambas;2016;31.22;1.56
14 Murcia, Region de;Murcia, Region de;ambas;2015;31.22;1.57
14 Murcia, Region de;Murcia, Region de;ambas;2014;31.1;1.56
14 Murcia, Region de;Murcia, Region de;ambas;2013;31.01;1.51
14 Murcia, Region de;Murcia, Region de;ambas;2012;30.88;1.53
14 Murcia, Region de;Murcia, Region de;ambas;2011;30.74;1.56
14 Murcia, Region de;Murcia, Region de;ambas;2010;30.63;1.59
14 Murcia, Region de;Murcia, Region de;ambas;2009;30.37;1.62
14 Murcia, Region de;Murcia, Region de;ambas;2008;30.15;1.69
14 Murcia, Region de;Murcia, Region de;ambas;2007;30.09;1.64
14 Murcia, Region de;Murcia, Region de;ambas;2006;30.25;1.63
14 Murcia, Region de;Murcia, Region de;ambas;2005;30.16;1.58
14 Murcia, Region de;Murcia, Region de;ambas;2004;30.15;1.56
14 Murcia, Region de;Murcia, Region de;ambas;2003;30.03;1.57
14 Murcia, Region de;Murcia, Region de;ambas;2002;30.11;1.51
14 Murcia, Region de;Murcia, Region de;ambas;2001;30.04;1.5
14 Murcia, Region de;Murcia, Region de;ambas;2000;30.14;1.44
14 Murcia, Region de;Murcia, Region de;ambas;1999;30.19;1.35
14 Murcia, Region de;Murcia, Region de;ambas;1998;30.17;1.34
14 Murcia, Region de;Murcia, Region de;ambas;1997;30.05;1.38
14 Murcia, Region de;Murcia, Region de;ambas;1996;29.93;1.37
14 Murcia, Region de;Murcia, Region de;ambas;1995;29.63;1.39
14 Murcia, Region de;Murcia, Region de;ambas;1994;29.49;1.42
14 Murcia, Region de;Murcia, Region de;ambas;1993;29.26;1.55
14 Murcia, Region de;Murcia, Region de;ambas;1992;29.02;1.63
14 Murcia, Region de;Murcia, Region de;ambas;1991;28.81;1.68
14 Murcia, Region de;Murcia, Region de;ambas;1990;28.72;1.73
14 Murcia, Region de;Murcia, Region de;ambas;1989;28.6;1.78
14 Murcia, Region de;Murcia, Region de;ambas;1988;28.44;1.81
14 Murcia, Region de;Murcia, Region de;ambas;1987;28.49;1.86
14 Murcia, Region de;Murcia, Region de;ambas;1986;28.43;1.9
14 Murcia, Region de;Murcia, Region de;ambas;1985;28.5;2.03
14 Murcia, Region de;Murcia, Region de;ambas;1984;28.38;2.13
14 Murcia, Region de;Murcia, Region de;ambas;1983;28.49;2.26
14 Murcia, Region de;Murcia, Region de;ambas;1982;28.28;2.51
14 Murcia, Region de;Murcia, Region de;ambas;1981;28.16;2.6
14 Murcia, Region de;Murcia, Region de;ambas;1980;28.18;2.89
14 Murcia, Region de;Murcia, Region de;ambas;1979;28.19;3.04
14 Murcia, Region de;Murcia, Region de;ambas;1978;28.19;3.13
14 Murcia, Region de;Murcia, Region de;ambas;1977;28.34;3.22
14 Murcia, Region de;Murcia, Region de;ambas;1976;28.47;3.36
14 Murcia, Region de;Murcia, Region de;ambas;1975;28.7;3.21
14 Murcia, Region de;Murcia, Region de;espanola;2020;32.08;1.32
14 Murcia, Region de;Murcia, Region de;espanola;2019;32.11;1.36
14 Murcia, Region de;Murcia, Region de;espanola;2018;31.95;1.4
14 Murcia, Region de;Murcia, Region de;espanola;2017;31.85;1.43
14 Murcia, Region de;Murcia, Region de;espanola;2016;31.8;1.45
14 Murcia, Region de;Murcia, Region de;espanola;2015;31.75;1.48
14 Murcia, Region de;Murcia, Region de;espanola;2014;31.69;1.48
14 Murcia, Region de;Murcia, Region de;espanola;2013;31.63;1.43
14 Murcia, Region de;Murcia, Region de;espanola;2012;31.62;1.44
14 Murcia, Region de;Murcia, Region de;espanola;2011;31.46;1.47
14 Murcia, Region de;Murcia, Region de;espanola;2010;31.38;1.49
14 Murcia, Region de;Murcia, Region de;espanola;2009;31.2;1.51
14 Murcia, Region de;Murcia, Region de;espanola;2008;30.99;1.56
14 Murcia, Region de;Murcia, Region de;espanola;2007;30.89;1.52
14 Murcia, Region de;Murcia, Region de;espanola;2006;30.96;1.53
14 Murcia, Region de;Murcia, Region de;espanola;2005;30.83;1.49
14 Murcia, Region de;Murcia, Region de;espanola;2004;30.8;1.46
14 Murcia, Region de;Murcia, Region de;espanola;2003;30.61;1.47
14 Murcia, Region de;Murcia, Region de;espanola;2002;30.65;1.42
14 Murcia, Region de;Murcia, Region de;espanola;2001;;
14 Murcia, Region de;Murcia, Region de;espanola;2000;;
14 Murcia, Region de;Murcia, Region de;espanola;1999;;
14 Murcia, Region de;Murcia, Region de;espanola;1998;;
14 Murcia, Region de;Murcia, Region de;espanola;1997;;
14 Murcia, Region de;Murcia, Region de;espanola;1996;;
14 Murcia, Region de;Murcia, Region de;espanola;1995;;
14 Murcia, Region de;Murcia, Region de;espanola;1994;;
14 Murcia, Region de;Murcia, Region de;espanola;1993;;
14 Murcia, Region de;Murcia, Region de;espanola;1992;;
14 Murcia, Region de;Murcia, Region de;espanola;1991;;
14 Murcia, Region de;Murcia, Region de;espanola;1990;;
14 Murcia, Region de;Murcia, Region de;espanola;1989;;
14 Murcia, Region de;Murcia, Region de;espanola;1988;;
14 Murcia, Region de;Murcia, Region de;espanola;1987;;
14 Murcia, Region de;Murcia, Region de;espanola;1986;;
14 Murcia, Region de;Murcia, Region de;espanola;1985;;
14 Murcia, Region de;Murcia, Region de;espanola;1984;;
14 Murcia, Region de;Murcia, Region de;espanola;1983;;
14 Murcia, Region de;Murcia, Region de;espanola;1982;;
14 Murcia, Region de;Murcia, Region de;espanola;1981;;
14 Murcia, Region de;Murcia, Region de;espanola;1980;;
14 Murcia, Region de;Murcia, Region de;espanola;1979;;
14 Murcia, Region de;Murcia, Region de;espanola;1978;;
14 Murcia, Region de;Murcia, Region de;espanola;1977;;
14 Murcia, Region de;Murcia, Region de;espanola;1976;;
14 Murcia, Region de;Murcia, Region de;espanola;1975;;
14 Murcia, Region de;Murcia, Region de;extranjera;2020;29.97;2.01
14 Murcia, Region de;Murcia, Region de;extranjera;2019;29.99;2.14
14 Murcia, Region de;Murcia, Region de;extranjera;2018;29.48;2.23
14 Murcia, Region de;Murcia, Region de;extranjera;2017;29.26;2.21
14 Murcia, Region de;Murcia, Region de;extranjera;2016;29.1;2.2
14 Murcia, Region de;Murcia, Region de;extranjera;2015;29.16;2.08
14 Murcia, Region de;Murcia, Region de;extranjera;2014;28.84;2.01
14 Murcia, Region de;Murcia, Region de;extranjera;2013;28.74;1.89
14 Murcia, Region de;Murcia, Region de;extranjera;2012;28.34;1.96
14 Murcia, Region de;Murcia, Region de;extranjera;2011;28.34;1.99
14 Murcia, Region de;Murcia, Region de;extranjera;2010;28.28;2.02
14 Murcia, Region de;Murcia, Region de;extranjera;2009;27.84;2.08
14 Murcia, Region de;Murcia, Region de;extranjera;2008;27.72;2.23
14 Murcia, Region de;Murcia, Region de;extranjera;2007;27.6;2.16
14 Murcia, Region de;Murcia, Region de;extranjera;2006;27.47;2.12
14 Murcia, Region de;Murcia, Region de;extranjera;2005;27.32;2.13
14 Murcia, Region de;Murcia, Region de;extranjera;2004;27.15;2.22
14 Murcia, Region de;Murcia, Region de;extranjera;2003;27.15;2.33
14 Murcia, Region de;Murcia, Region de;extranjera;2002;26.95;2.47
14 Murcia, Region de;Murcia, Region de;extranjera;2001;;
14 Murcia, Region de;Murcia, Region de;extranjera;2000;;
14 Murcia, Region de;Murcia, Region de;extranjera;1999;;
14 Murcia, Region de;Murcia, Region de;extranjera;1998;;
14 Murcia, Region de;Murcia, Region de;extranjera;1997;;
14 Murcia, Region de;Murcia, Region de;extranjera;1996;;
14 Murcia, Region de;Murcia, Region de;extranjera;1995;;
14 Murcia, Region de;Murcia, Region de;extranjera;1994;;
14 Murcia, Region de;Murcia, Region de;extranjera;1993;;
14 Murcia, Region de;Murcia, Region de;extranjera;1992;;
14 Murcia, Region de;Murcia, Region de;extranjera;1991;;
14 Murcia, Region de;Murcia, Region de;extranjera;1990;;
14 Murcia, Region de;Murcia, Region de;extranjera;1989;;
14 Murcia, Region de;Murcia, Region de;extranjera;1988;;
14 Murcia, Region de;Murcia, Region de;extranjera;1987;;
14 Murcia, Region de;Murcia, Region de;extranjera;1986;;
14 Murcia, Region de;Murcia, Region de;extranjera;1985;;
14 Murcia, Region de;Murcia, Region de;extranjera;1984;;
14 Murcia, Region de;Murcia, Region de;extranjera;1983;;
14 Murcia, Region de;Murcia, Region de;extranjera;1982;;
14 Murcia, Region de;Murcia, Region de;extranjera;1981;;
14 Murcia, Region de;Murcia, Region de;extranjera;1980;;
14 Murcia, Region de;Murcia, Region de;extranjera;1979;;
14 Murcia, Region de;Murcia, Region de;extranjera;1978;;
14 Murcia, Region de;Murcia, Region de;extranjera;1977;;
14 Murcia, Region de;Murcia, Region de;extranjera;1976;;
14 Murcia, Region de;Murcia, Region de;extranjera;1975;;
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;ambas;2020;32.71;1.33
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;ambas;2019;32.64;1.4
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;ambas;2018;32.53;1.39
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;ambas;2017;32.48;1.46
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;ambas;2016;32.47;1.46
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;ambas;2015;32.42;1.45
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;ambas;2014;32.34;1.44
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;ambas;2013;32.34;1.36
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;ambas;2012;32.21;1.46
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;ambas;2011;32.12;1.43
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;ambas;2010;31.61;1.44
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;ambas;2009;31.63;1.44
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;ambas;2008;31.45;1.49
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;ambas;2007;31.48;1.41
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;ambas;2006;31.52;1.42
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;ambas;2005;31.8;1.33
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;ambas;2004;31.73;1.38
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;ambas;2003;31.68;1.37
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;ambas;2002;31.83;1.3
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;ambas;2001;31.79;1.3
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;ambas;2000;31.71;1.2
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;ambas;1999;31.83;1.18
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;ambas;1998;31.65;1.15
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;ambas;1997;31.49;1.17
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;ambas;1996;31.26;1.15
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;ambas;1995;31.05;1.11
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;ambas;1994;30.88;1.13
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;ambas;1993;30.48;1.16
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;ambas;1992;30.22;1.14
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;ambas;1991;30.21;1.22
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;ambas;1990;29.94;1.23
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;ambas;1989;29.76;1.25
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;ambas;1988;29.74;1.28
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;ambas;1987;29.65;1.26
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;ambas;1986;29.46;1.37
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;ambas;1985;29.62;1.42
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;ambas;1984;29.55;1.54
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;ambas;1983;29.43;1.61
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;ambas;1982;29.45;1.73
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;ambas;1981;29.33;1.88
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;ambas;1980;29.28;2
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;ambas;1979;29.28;2.13
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;ambas;1978;29.24;2.3
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;ambas;1977;29.38;2.47
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;ambas;1976;29.42;2.59
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;ambas;1975;29.77;2.63
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;espanola;2020;33.52;1.21
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;espanola;2019;33.46;1.27
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;espanola;2018;33.27;1.29
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;espanola;2017;33.23;1.35
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;espanola;2016;33.09;1.39
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;espanola;2015;33.05;1.37
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;espanola;2014;33;1.38
15 Navarra, Comunidad Foral de;Navarra, Comunidad Foral de;espanola;2013;33.06;1.3
