ccaa;ccaa_2;nacionalidad;anio;edad_media_primer_hijo;ind_fecundidad
05 Canarias;Canarias;espanola;2005;28.62;1.21
05 Canarias;Canarias;espanola;2004;28.58;1.19
05 Canarias;Canarias;espanola;2003;28.33;1.21
05 Canarias;Canarias;espanola;2002;28.05;1.23
05 Canarias;Canarias;espanola;2001;;
05 Canarias;Canarias;espanola;2000;;
05 Canarias;Canarias;espanola;1999;;
05 Canarias;Canarias;espanola;1998;;
05 Canarias;Canarias;espanola;1997;;
05 Canarias;Canarias;espanola;1996;;
05 Canarias;Canarias;espanola;1995;;
05 Canarias;Canarias;espanola;1994;;
05 Canarias;Canarias;espanola;1993;;
05 Canarias;Canarias;espanola;1992;;
05 Canarias;Canarias;espanola;1991;;
05 Canarias;Canarias;espanola;1990;;
05 Canarias;Canarias;espanola;1989;;
05 Canarias;Canarias;espanola;1988;;
05 Canarias;Canarias;espanola;1987;;
05 Canarias;Canarias;espanola;1986;;
05 Canarias;Canarias;espanola;1985;;
05 Canarias;Canarias;espanola;1984;;
05 Canarias;Canarias;espanola;1983;;
05 Canarias;Canarias;espanola;1982;;
05 Canarias;Canarias;espanola;1981;;
05 Canarias;Canarias;espanola;1980;;
05 Canarias;Canarias;espanola;1979;;
05 Canarias;Canarias;espanola;1978;;
05 Canarias;Canarias;espanola;1977;;
05 Canarias;Canarias;espanola;1976;;
05 Canarias;Canarias;espanola;1975;;
05 Canarias;Canarias;extranjera;2020;28.52;0.89
05 Canarias;Canarias;extranjera;2019;29.01;0.95
05 Canarias;Canarias;extranjera;2018;28.98;1
05 Canarias;Canarias;extranjera;2017;28.39;1.06
05 Canarias;Canarias;extranjera;2016;28.72;1.08
05 Canarias;Canarias;extranjera;2015;27.9;1.07
05 Canarias;Canarias;extranjera;2014;28.27;1.06
05 Canarias;Canarias;extranjera;2013;27.59;1.03
05 Canarias;Canarias;extranjera;2012;27.43;1.18
05 Canarias;Canarias;extranjera;2011;27.63;1.16
05 Canarias;Canarias;extranjera;2010;27.32;1.27
05 Canarias;Canarias;extranjera;2009;27.27;1.34
05 Canarias;Canarias;extranjera;2008;27.18;1.45
05 Canarias;Canarias;extranjera;2007;27.26;1.34
05 Canarias;Canarias;extranjera;2006;27.05;1.45
05 Canarias;Canarias;extranjera;2005;27.37;1.44
05 Canarias;Canarias;extranjera;2004;27.22;1.37
05 Canarias;Canarias;extranjera;2003;27.48;1.45
05 Canarias;Canarias;extranjera;2002;26.65;1.78
05 Canarias;Canarias;extranjera;2001;;
05 Canarias;Canarias;extranjera;2000;;
05 Canarias;Canarias;extranjera;1999;;
05 Canarias;Canarias;extranjera;1998;;
05 Canarias;Canarias;extranjera;1997;;
05 Canarias;Canarias;extranjera;1996;;
05 Canarias;Canarias;extranjera;1995;;
05 Canarias;Canarias;extranjera;1994;;
05 Canarias;Canarias;extranjera;1993;;
05 Canarias;Canarias;extranjera;1992;;
05 Canarias;Canarias;extranjera;1991;;
05 Canarias;Canarias;extranjera;1990;;
05 Canarias;Canarias;extranjera;1989;;
05 Canarias;Canarias;extranjera;1988;;
05 Canarias;Canarias;extranjera;1987;;
05 Canarias;Canarias;extranjera;1986;;
05 Canarias;Canarias;extranjera;1985;;
05 Canarias;Canarias;extranjera;1984;;
05 Canarias;Canarias;extranjera;1983;;
05 Canarias;Canarias;extranjera;1982;;
05 Canarias;Canarias;extranjera;1981;;
05 Canarias;Canarias;extranjera;1980;;
05 Canarias;Canarias;extranjera;1979;;
05 Canarias;Canarias;extranjera;1978;;
05 Canarias;Canarias;extranjera;1977;;
05 Canarias;Canarias;extranjera;1976;;
05 Canarias;Canarias;extranjera;1975;;
06 Cantabria;Cantabria;ambas;2020;31.46;1.07
06 Cantabria;Cantabria;ambas;2019;31.73;1.07
06 Cantabria;Cantabria;ambas;2018;31.54;1.12
06 Cantabria;Cantabria;ambas;2017;31.46;1.17
06 Cantabria;Cantabria;ambas;2016;31.27;1.15
06 Cantabria;Cantabria;ambas;2015;31.21;1.15
06 Cantabria;Cantabria;ambas;2014;31.19;1.15
06 Cantabria;Cantabria;ambas;2013;31.03;1.18
06 Cantabria;Cantabria;ambas;2012;31.1;1.19
06 Cantabria;Cantabria;ambas;2011;30.76;1.22
06 Cantabria;Cantabria;ambas;2010;30.71;1.26
06 Cantabria;Cantabria;ambas;2009;30.03;1.26
06 Cantabria;Cantabria;ambas;2008;30.12;1.32
06 Cantabria;Cantabria;ambas;2007;29.94;1.22
06 Cantabria;Cantabria;ambas;2006;29.9;1.19
06 Cantabria;Cantabria;ambas;2005;30.32;1.2
06 Cantabria;Cantabria;ambas;2004;30.02;1.18
06 Cantabria;Cantabria;ambas;2003;30.03;1.15
06 Cantabria;Cantabria;ambas;2002;29.84;1.09
06 Cantabria;Cantabria;ambas;2001;29.88;1.03
06 Cantabria;Cantabria;ambas;2000;29.72;1.05
06 Cantabria;Cantabria;ambas;1999;29.63;0.97
06 Cantabria;Cantabria;ambas;1998;29.36;0.93
06 Cantabria;Cantabria;ambas;1997;29.33;0.95
06 Cantabria;Cantabria;ambas;1996;28.77;0.94
06 Cantabria;Cantabria;ambas;1995;28.6;0.92
06 Cantabria;Cantabria;ambas;1994;28.33;0.94
06 Cantabria;Cantabria;ambas;1993;27.87;1.02
06 Cantabria;Cantabria;ambas;1992;27.44;1.07
06 Cantabria;Cantabria;ambas;1991;27.25;1.09
06 Cantabria;Cantabria;ambas;1990;26.9;1.15
06 Cantabria;Cantabria;ambas;1989;26.26;1.16
06 Cantabria;Cantabria;ambas;1988;26.29;1.26
06 Cantabria;Cantabria;ambas;1987;26.12;1.32
06 Cantabria;Cantabria;ambas;1986;25.72;1.37
06 Cantabria;Cantabria;ambas;1985;25.65;1.45
06 Cantabria;Cantabria;ambas;1984;25.43;1.58
06 Cantabria;Cantabria;ambas;1983;25.47;1.71
06 Cantabria;Cantabria;ambas;1982;25.09;1.84
06 Cantabria;Cantabria;ambas;1981;24.77;2.02
06 Cantabria;Cantabria;ambas;1980;24.86;2.16
06 Cantabria;Cantabria;ambas;1979;24.47;2.27
06 Cantabria;Cantabria;ambas;1978;24.57;2.46
06 Cantabria;Cantabria;ambas;1977;24.5;2.54
06 Cantabria;Cantabria;ambas;1976;24.68;2.67
06 Cantabria;Cantabria;ambas;1975;24.96;2.63
06 Cantabria;Cantabria;espanola;2020;31.82;1.05
06 Cantabria;Cantabria;espanola;2019;32.16;1.04
06 Cantabria;Cantabria;espanola;2018;31.94;1.1
06 Cantabria;Cantabria;espanola;2017;31.77;1.16
06 Cantabria;Cantabria;espanola;2016;31.69;1.14
06 Cantabria;Cantabria;espanola;2015;31.61;1.13
06 Cantabria;Cantabria;espanola;2014;31.51;1.13
06 Cantabria;Cantabria;espanola;2013;31.38;1.17
06 Cantabria;Cantabria;espanola;2012;31.44;1.17
06 Cantabria;Cantabria;espanola;2011;31.25;1.2
06 Cantabria;Cantabria;espanola;2010;31.23;1.23
06 Cantabria;Cantabria;espanola;2009;30.6;1.23
06 Cantabria;Cantabria;espanola;2008;30.7;1.27
06 Cantabria;Cantabria;espanola;2007;30.4;1.18
06 Cantabria;Cantabria;espanola;2006;30.23;1.18
06 Cantabria;Cantabria;espanola;2005;30.61;1.19
06 Cantabria;Cantabria;espanola;2004;30.26;1.16
06 Cantabria;Cantabria;espanola;2003;30.27;1.14
06 Cantabria;Cantabria;espanola;2002;29.98;1.08
06 Cantabria;Cantabria;espanola;2001;;
06 Cantabria;Cantabria;espanola;2000;;
06 Cantabria;Cantabria;espanola;1999;;
06 Cantabria;Cantabria;espanola;1998;;
06 Cantabria;Cantabria;espanola;1997;;
06 Cantabria;Cantabria;espanola;1996;;
06 Cantabria;Cantabria;espanola;1995;;
06 Cantabria;Cantabria;espanola;1994;;
06 Cantabria;Cantabria;espanola;1993;;
06 Cantabria;Cantabria;espanola;1992;;
06 Cantabria;Cantabria;espanola;1991;;
06 Cantabria;Cantabria;espanola;1990;;
06 Cantabria;Cantabria;espanola;1989;;
06 Cantabria;Cantabria;espanola;1988;;
06 Cantabria;Cantabria;espanola;1987;;
06 Cantabria;Cantabria;espanola;1986;;
06 Cantabria;Cantabria;espanola;1985;;
06 Cantabria;Cantabria;espanola;1984;;
06 Cantabria;Cantabria;espanola;1983;;
06 Cantabria;Cantabria;espanola;1982;;
06 Cantabria;Cantabria;espanola;1981;;
06 Cantabria;Cantabria;espanola;1980;;
06 Cantabria;Cantabria;espanola;1979;;
06 Cantabria;Cantabria;espanola;1978;;
06 Cantabria;Cantabria;espanola;1977;;
06 Cantabria;Cantabria;espanola;1976;;
06 Cantabria;Cantabria;espanola;1975;;
06 Cantabria;Cantabria;extranjera;2020;28.15;1.21
06 Cantabria;Cantabria;extranjera;2019;28.45;1.29
06 Cantabria;Cantabria;extranjera;2018;27.8;1.32
06 Cantabria;Cantabria;extranjera;2017;28.16;1.3
06 Cantabria;Cantabria;extranjera;2016;27.02;1.34
06 Cantabria;Cantabria;extranjera;2015;27.74;1.34
06 Cantabria;Cantabria;extranjera;2014;28.04;1.3
06 Cantabria;Cantabria;extranjera;2013;27.59;1.2
06 Cantabria;Cantabria;extranjera;2012;28.29;1.24
06 Cantabria;Cantabria;extranjera;2011;27.26;1.34
06 Cantabria;Cantabria;extranjera;2010;27.09;1.44
06 Cantabria;Cantabria;extranjera;2009;26.17;1.5
06 Cantabria;Cantabria;extranjera;2008;26.02;1.6
06 Cantabria;Cantabria;extranjera;2007;26.47;1.57
06 Cantabria;Cantabria;extranjera;2006;26.38;1.35
06 Cantabria;Cantabria;extranjera;2005;26.3;1.35
06 Cantabria;Cantabria;extranjera;2004;26.52;1.43
06 Cantabria;Cantabria;extranjera;2003;25.77;1.44
06 Cantabria;Cantabria;extranjera;2002;26.97;1.43
06 Cantabria;Cantabria;extranjera;2001;;
06 Cantabria;Cantabria;extranjera;2000;;
06 Cantabria;Cantabria;extranjera;1999;;
06 Cantabria;Cantabria;extranjera;1998;;
06 Cantabria;Cantabria;extranjera;1997;;
06 Cantabria;Cantabria;extranjera;1996;;
06 Cantabria;Cantabria;extranjera;1995;;
06 Cantabria;Cantabria;extranjera;1994;;
06 Cantabria;Cantabria;extranjera;1993;;
06 Cantabria;Cantabria;extranjera;1992;;
06 Cantabria;Cantabria;extranjera;1991;;
06 Cantabria;Cantabria;extranjera;1990;;
06 Cantabria;Cantabria;extranjera;1989;;
06 Cantabria;Cantabria;extranjera;1988;;
06 Cantabria;Cantabria;extranjera;1987;;
06 Cantabria;Cantabria;extranjera;1986;;
06 Cantabria;Cantabria;extranjera;1985;;
06 Cantabria;Cantabria;extranjera;1984;;
06 Cantabria;Cantabria;extranjera;1983;;
06 Cantabria;Cantabria;extranjera;1982;;
06 Cantabria;Cantabria;extranjera;1981;;
06 Cantabria;Cantabria;extranjera;1980;;
06 Cantabria;Cantabria;extranjera;1979;;
06 Cantabria;Cantabria;extranjera;1978;;
06 Cantabria;Cantabria;extranjera;1977;;
06 Cantabria;Cantabria;extranjera;1976;;
06 Cantabria;Cantabria;extranjera;1975;;
07 Castilla y Leon;Castilla y Leon;ambas;2020;31.8;1.1
07 Castilla y Leon;Castilla y Leon;ambas;2019;31.66;1.13
07 Castilla y Leon;Castilla y Leon;ambas;2018;31.76;1.15
07 Castilla y Leon;Castilla y Leon;ambas;2017;31.57;1.14
07 Castilla y Leon;Castilla y Leon;ambas;2016;31.56;1.18
07 Castilla y Leon;Castilla y Leon;ambas;2015;31.43;1.18
07 Castilla y Leon;Castilla y Leon;ambas;2014;31.4;1.17
07 Castilla y Leon;Castilla y Leon;ambas;2013;31.2;1.13
07 Castilla y Leon;Castilla y Leon;ambas;2012;31.07;1.17
07 Castilla y Leon;Castilla y Leon;ambas;2011;30.87;1.19
07 Castilla y Leon;Castilla y Leon;ambas;2010;30.69;1.2
07 Castilla y Leon;Castilla y Leon;ambas;2009;30.44;1.18
07 Castilla y Leon;Castilla y Leon;ambas;2008;30.17;1.22
07 Castilla y Leon;Castilla y Leon;ambas;2007;30.24;1.14
07 Castilla y Leon;Castilla y Leon;ambas;2006;30.32;1.13
07 Castilla y Leon;Castilla y Leon;ambas;2005;30.45;1.1
07 Castilla y Leon;Castilla y Leon;ambas;2004;30.29;1.07
07 Castilla y Leon;Castilla y Leon;ambas;2003;30.31;1.06
07 Castilla y Leon;Castilla y Leon;ambas;2002;30.33;1.02
07 Castilla y Leon;Castilla y Leon;ambas;2001;30.12;0.99
07 Castilla y Leon;Castilla y Leon;ambas;2000;30.03;0.99
07 Castilla y Leon;Castilla y Leon;ambas;1999;29.85;0.95
07 Castilla y Leon;Castilla y Leon;ambas;1998;29.61;0.93
07 Castilla y Leon;Castilla y Leon;ambas;1997;29.33;0.98
07 Castilla y Leon;Castilla y Leon;ambas;1996;29.05;0.96
07 Castilla y Leon;Castilla y Leon;ambas;1995;28.89;0.97
07 Castilla y Leon;Castilla y Leon;ambas;1994;28.59;0.99
07 Castilla y Leon;Castilla y Leon;ambas;1993;28.26;1.05
07 Castilla y Leon;Castilla y Leon;ambas;1992;27.92;1.09
07 Castilla y Leon;Castilla y Leon;ambas;1991;27.6;1.13
07 Castilla y Leon;Castilla y Leon;ambas;1990;27.24;1.17
07 Castilla y Leon;Castilla y Leon;ambas;1989;26.89;1.22
07 Castilla y Leon;Castilla y Leon;ambas;1988;26.55;1.26
07 Castilla y Leon;Castilla y Leon;ambas;1987;26.31;1.33
07 Castilla y Leon;Castilla y Leon;ambas;1986;26.19;1.41
07 Castilla y Leon;Castilla y Leon;ambas;1985;26.18;1.51
07 Castilla y Leon;Castilla y Leon;ambas;1984;26.09;1.6
07 Castilla y Leon;Castilla y Leon;ambas;1983;25.94;1.69
07 Castilla y Leon;Castilla y Leon;ambas;1982;25.83;1.83
07 Castilla y Leon;Castilla y Leon;ambas;1981;25.85;1.91
07 Castilla y Leon;Castilla y Leon;ambas;1980;25.63;2.03
07 Castilla y Leon;Castilla y Leon;ambas;1979;25.34;2.09
07 Castilla y Leon;Castilla y Leon;ambas;1978;25.37;2.19
07 Castilla y Leon;Castilla y Leon;ambas;1977;25.6;2.2
07 Castilla y Leon;Castilla y Leon;ambas;1976;25.62;2.28
07 Castilla y Leon;Castilla y Leon;ambas;1975;26.19;2.23
07 Castilla y Leon;Castilla y Leon;espanola;2020;32.44;1.06
07 Castilla y Leon;Castilla y Leon;espanola;2019;32.29;1.07
07 Castilla y Leon;Castilla y Leon;espanola;2018;32.33;1.1
07 Castilla y Leon;Castilla y Leon;espanola;2017;32.16;1.1
07 Castilla y Leon;Castilla y Leon;espanola;2016;32.11;1.15
07 Castilla y Leon;Castilla y Leon;espanola;2015;32.01;1.15
07 Castilla y Leon;Castilla y Leon;espanola;2014;31.93;1.14
07 Castilla y Leon;Castilla y Leon;espanola;2013;31.82;1.1
07 Castilla y Leon;Castilla y Leon;espanola;2012;31.73;1.13
07 Castilla y Leon;Castilla y Leon;espanola;2011;31.57;1.14
07 Castilla y Leon;Castilla y Leon;espanola;2010;31.46;1.14
07 Castilla y Leon;Castilla y Leon;espanola;2009;31.33;1.11
07 Castilla y Leon;Castilla y Leon;espanola;2008;31.08;1.14
07 Castilla y Leon;Castilla y Leon;espanola;2007;31.01;1.08
07 Castilla y Leon;Castilla y Leon;espanola;2006;30.94;1.08
07 Castilla y Leon;Castilla y Leon;espanola;2005;30.97;1.06
07 Castilla y Leon;Castilla y Leon;espanola;2004;30.69;1.04
07 Castilla y Leon;Castilla y Leon;espanola;2003;30.67;1.03
07 Castilla y Leon;Castilla y Leon;espanola;2002;30.6;1
07 Castilla y Leon;Castilla y Leon;espanola;2001;;
07 Castilla y Leon;Castilla y Leon;espanola;2000;;
07 Castilla y Leon;Castilla y Leon;espanola;1999;;
07 Castilla y Leon;Castilla y Leon;espanola;1998;;
07 Castilla y Leon;Castilla y Leon;espanola;1997;;
07 Castilla y Leon;Castilla y Leon;espanola;1996;;
07 Castilla y Leon;Castilla y Leon;espanola;1995;;
07 Castilla y Leon;Castilla y Leon;espanola;1994;;
07 Castilla y Leon;Castilla y Leon;espanola;1993;;
07 Castilla y Leon;Castilla y Leon;espanola;1992;;
07 Castilla y Leon;Castilla y Leon;espanola;1991;;
07 Castilla y Leon;Castilla y Leon;espanola;1990;;
07 Castilla y Leon;Castilla y Leon;espanola;1989;;
07 Castilla y Leon;Castilla y Leon;espanola;1988;;
07 Castilla y Leon;Castilla y Leon;espanola;1987;;
07 Castilla y Leon;Castilla y Leon;espanola;1986;;
07 Castilla y Leon;Castilla y Leon;espanola;1985;;
07 Castilla y Leon;Castilla y Leon;espanola;1984;;
07 Castilla y Leon;Castilla y Leon;espanola;1983;;
07 Castilla y Leon;Castilla y Leon;espanola;1982;;
07 Castilla y Leon;Castilla y Leon;espanola;1981;;
07 Castilla y Leon;Castilla y Leon;espanola;1980;;
07 Castilla y Leon;Castilla y Leon;espanola;1979;;
07 Castilla y Leon;Castilla y Leon;espanola;1978;;
07 Castilla y Leon;Castilla y Leon;espanola;1977;;
07 Castilla y Leon;Castilla y Leon;espanola;1976;;
07 Castilla y Leon;Castilla y Leon;espanola;1975;;
07 Castilla y Leon;Castilla y Leon;extranjera;2020;27.08;1.41
07 Castilla y Leon;Castilla y Leon;extranjera;2019;27.32;1.54
07 Castilla y Leon;Castilla y Leon;extranjera;2018;27.06;1.51
07 Castilla y Leon;Castilla y Leon;extranjera;2017;26.74;1.5
07 Castilla y Leon;Castilla y Leon;extranjera;2016;26.68;1.48
07 Castilla y Leon;Castilla y Leon;extranjera;2015;26.57;1.5
07 Castilla y Leon;Castilla y Leon;extranjera;2014;26.87;1.42
07 Castilla y Leon;Castilla y Leon;extranjera;2013;26.36;1.37
07 Castilla y Leon;Castilla y Leon;extranjera;2012;26.43;1.43
07 Castilla y Leon;Castilla y Leon;extranjera;2011;26.47;1.51
07 Castilla y Leon;Castilla y Leon;extranjera;2010;26.33;1.63
07 Castilla y Leon;Castilla y Leon;extranjera;2009;25.65;1.63
07 Castilla y Leon;Castilla y Leon;extranjera;2008;25.36;1.8
07 Castilla y Leon;Castilla y Leon;extranjera;2007;25.68;1.63
07 Castilla y Leon;Castilla y Leon;extranjera;2006;25.6;1.66
07 Castilla y Leon;Castilla y Leon;extranjera;2005;25.85;1.61
07 Castilla y Leon;Castilla y Leon;extranjera;2004;26.02;1.61
07 Castilla y Leon;Castilla y Leon;extranjera;2003;25.4;1.67
07 Castilla y Leon;Castilla y Leon;extranjera;2002;25.6;1.61
07 Castilla y Leon;Castilla y Leon;extranjera;2001;;
07 Castilla y Leon;Castilla y Leon;extranjera;2000;;
07 Castilla y Leon;Castilla y Leon;extranjera;1999;;
07 Castilla y Leon;Castilla y Leon;extranjera;1998;;
07 Castilla y Leon;Castilla y Leon;extranjera;1997;;
07 Castilla y Leon;Castilla y Leon;extranjera;1996;;
07 Castilla y Leon;Castilla y Leon;extranjera;1995;;
07 Castilla y Leon;Castilla y Leon;extranjera;1994;;
07 Castilla y Leon;Castilla y Leon;extranjera;1993;;
07 Castilla y Leon;Castilla y Leon;extranjera;1992;;
07 Castilla y Leon;Castilla y Leon;extranjera;1991;;
07 Castilla y Leon;Castilla y Leon;extranjera;1990;;
07 Castilla y Leon;Castilla y Leon;extranjera;1989;;
07 Castilla y Leon;Castilla y Leon;extranjera;1988;;
07 Castilla y Leon;Castilla y Leon;extranjera;1987;;
07 Castilla y Leon;Castilla y Leon;extranjera;1986;;
07 Castilla y Leon;Castilla y Leon;extranjera;1985;;
07 Castilla y Leon;Castilla y Leon;extranjera;1984;;
07 Castilla y Leon;Castilla y Leon;extranjera;1983;;
07 Castilla y Leon;Castilla y Leon;extranjera;1982;;
07 Castilla y Leon;Castilla y Leon;extranjera;1981;;
07 Castilla y Leon;Castilla y Leon;extranjera;1980;;
07 Castilla y Leon;Castilla y Leon;extranjera;1979;;
07 Castilla y Leon;Castilla y Leon;extranjera;1978;;
07 Castilla y Leon;Castilla y Leon;extranjera;1977;;
07 Castilla y Leon;Castilla y Leon;extranjera;1976;;
07 Castilla y Leon;Castilla y Leon;extranjera;1975;;
08 Castilla - La Mancha;Castilla - La Mancha;ambas;2020;30.78;1.21
08 Castilla - La Mancha;Castilla - La Mancha;ambas;2019;30.66;1.25
08 Castilla - La Mancha;Castilla - La Mancha;ambas;2018;30.69;1.27
08 Castilla - La Mancha;Castilla - La Mancha;ambas;2017;30.59;1.32
08 Castilla - La Mancha;Castilla - La Mancha;ambas;2016;30.66;1.34
08 Castilla - La Mancha;Castilla - La Mancha;ambas;2015;30.43;1.33
08 Castilla - La Mancha;Castilla - La Mancha;ambas;2014;30.44;1.3
08 Castilla - La Mancha;Castilla - La Mancha;ambas;2013;30.26;1.3
08 Castilla - La Mancha;Castilla - La Mancha;ambas;2012;29.98;1.35
08 Castilla - La Mancha;Castilla - La Mancha;ambas;2011;29.86;1.39
08 Castilla - La Mancha;Castilla - La Mancha;ambas;2010;29.42;1.43
08 Castilla - La Mancha;Castilla - La Mancha;ambas;2009;29.28;1.44
08 Castilla - La Mancha;Castilla - La Mancha;ambas;2008;29;1.5
08 Castilla - La Mancha;Castilla - La Mancha;ambas;2007;29.06;1.39
08 Castilla - La Mancha;Castilla - La Mancha;ambas;2006;29.14;1.4
08 Castilla - La Mancha;Castilla - La Mancha;ambas;2005;29.01;1.34
08 Castilla - La Mancha;Castilla - La Mancha;ambas;2004;29.04;1.34
08 Castilla - La Mancha;Castilla - La Mancha;ambas;2003;29.05;1.33
08 Castilla - La Mancha;Castilla - La Mancha;ambas;2002;29.02;1.29
08 Castilla - La Mancha;Castilla - La Mancha;ambas;2001;28.82;1.28
08 Castilla - La Mancha;Castilla - La Mancha;ambas;2000;28.84;1.27
08 Castilla - La Mancha;Castilla - La Mancha;ambas;1999;28.64;1.27
08 Castilla - La Mancha;Castilla - La Mancha;ambas;1998;28.5;1.24
08 Castilla - La Mancha;Castilla - La Mancha;ambas;1997;28.29;1.28
08 Castilla - La Mancha;Castilla - La Mancha;ambas;1996;28.05;1.29
08 Castilla - La Mancha;Castilla - La Mancha;ambas;1995;27.96;1.35
08 Castilla - La Mancha;Castilla - La Mancha;ambas;1994;27.64;1.4
08 Castilla - La Mancha;Castilla - La Mancha;ambas;1993;27.4;1.45
08 Castilla - La Mancha;Castilla - La Mancha;ambas;1992;27.1;1.53
08 Castilla - La Mancha;Castilla - La Mancha;ambas;1991;26.92;1.56
08 Castilla - La Mancha;Castilla - La Mancha;ambas;1990;26.59;1.61
08 Castilla - La Mancha;Castilla - La Mancha;ambas;1989;26.54;1.65
08 Castilla - La Mancha;Castilla - La Mancha;ambas;1988;26.17;1.67
08 Castilla - La Mancha;Castilla - La Mancha;ambas;1987;26.04;1.73
08 Castilla - La Mancha;Castilla - La Mancha;ambas;1986;25.86;1.79
08 Castilla - La Mancha;Castilla - La Mancha;ambas;1985;25.73;1.85
08 Castilla - La Mancha;Castilla - La Mancha;ambas;1984;25.54;1.98
08 Castilla - La Mancha;Castilla - La Mancha;ambas;1983;25.58;2.07
08 Castilla - La Mancha;Castilla - La Mancha;ambas;1982;25.42;2.22
08 Castilla - La Mancha;Castilla - La Mancha;ambas;1981;25.28;2.31
08 Castilla - La Mancha;Castilla - La Mancha;ambas;1980;25.16;2.37
08 Castilla - La Mancha;Castilla - La Mancha;ambas;1979;24.99;2.43
08 Castilla - La Mancha;Castilla - La Mancha;ambas;1978;24.97;2.52
08 Castilla - La Mancha;Castilla - La Mancha;ambas;1977;25.05;2.48
08 Castilla - La Mancha;Castilla - La Mancha;ambas;1976;25.22;2.59
08 Castilla - La Mancha;Castilla - La Mancha;ambas;1975;25.58;2.54
08 Castilla - La Mancha;Castilla - La Mancha;espanola;2020;31.44;1.15
08 Castilla - La Mancha;Castilla - La Mancha;espanola;2019;31.42;1.19
08 Castilla - La Mancha;Castilla - La Mancha;espanola;2018;31.3;1.22
08 Castilla - La Mancha;Castilla - La Mancha;espanola;2017;31.27;1.27
08 Castilla - La Mancha;Castilla - La Mancha;espanola;2016;31.24;1.31
08 Castilla - La Mancha;Castilla - La Mancha;espanola;2015;30.98;1.31
08 Castilla - La Mancha;Castilla - La Mancha;espanola;2014;30.99;1.28
08 Castilla - La Mancha;Castilla - La Mancha;espanola;2013;30.87;1.28
08 Castilla - La Mancha;Castilla - La Mancha;espanola;2012;30.68;1.32
08 Castilla - La Mancha;Castilla - La Mancha;espanola;2011;30.58;1.35
08 Castilla - La Mancha;Castilla - La Mancha;espanola;2010;30.24;1.35
08 Castilla - La Mancha;Castilla - La Mancha;espanola;2009;30.12;1.37
08 Castilla - La Mancha;Castilla - La Mancha;espanola;2008;29.99;1.4
08 Castilla - La Mancha;Castilla - La Mancha;espanola;2007;29.94;1.31
08 Castilla - La Mancha;Castilla - La Mancha;espanola;2006;29.81;1.34
08 Castilla - La Mancha;Castilla - La Mancha;espanola;2005;29.62;1.29
08 Castilla - La Mancha;Castilla - La Mancha;espanola;2004;29.54;1.28
08 Castilla - La Mancha;Castilla - La Mancha;espanola;2003;29.45;1.29
08 Castilla - La Mancha;Castilla - La Mancha;espanola;2002;29.28;1.26
08 Castilla - La Mancha;Castilla - La Mancha;espanola;2001;;
08 Castilla - La Mancha;Castilla - La Mancha;espanola;2000;;
08 Castilla - La Mancha;Castilla - La Mancha;espanola;1999;;
08 Castilla - La Mancha;Castilla - La Mancha;espanola;1998;;
08 Castilla - La Mancha;Castilla - La Mancha;espanola;1997;;
08 Castilla - La Mancha;Castilla - La Mancha;espanola;1996;;
08 Castilla - La Mancha;Castilla - La Mancha;espanola;1995;;
08 Castilla - La Mancha;Castilla - La Mancha;espanola;1994;;
08 Castilla - La Mancha;Castilla - La Mancha;espanola;1993;;
08 Castilla - La Mancha;Castilla - La Mancha;espanola;1992;;
08 Castilla - La Mancha;Castilla - La Mancha;espanola;1991;;
08 Castilla - La Mancha;Castilla - La Mancha;espanola;1990;;
08 Castilla - La Mancha;Castilla - La Mancha;espanola;1989;;
08 Castilla - La Mancha;Castilla - La Mancha;espanola;1988;;
08 Castilla - La Mancha;Castilla - La Mancha;espanola;1987;;
08 Castilla - La Mancha;Castilla - La Mancha;espanola;1986;;
08 Castilla - La Mancha;Castilla - La Mancha;espanola;1985;;
08 Castilla - La Mancha;Castilla - La Mancha;espanola;1984;;
08 Castilla - La Mancha;Castilla - La Mancha;espanola;1983;;
08 Castilla - La Mancha;Castilla - La Mancha;espanola;1982;;
08 Castilla - La Mancha;Castilla - La Mancha;espanola;1981;;
08 Castilla - La Mancha;Castilla - La Mancha;espanola;1980;;
08 Castilla - La Mancha;Castilla - La Mancha;espanola;1979;;
08 Castilla - La Mancha;Castilla - La Mancha;espanola;1978;;
08 Castilla - La Mancha;Castilla - La Mancha;espanola;1977;;
08 Castilla - La Mancha;Castilla - La Mancha;espanola;1976;;
08 Castilla - La Mancha;Castilla - La Mancha;espanola;1975;;
08 Castilla - La Mancha;Castilla - La Mancha;extranjera;2020;27.03;1.62
08 Castilla - La Mancha;Castilla - La Mancha;extranjera;2019;26.6;1.74
08 Castilla - La Mancha;Castilla - La Mancha;extranjera;2018;26.64;1.69
08 Castilla - La Mancha;Castilla - La Mancha;extranjera;2017;26.17;1.76
08 Castilla - La Mancha;Castilla - La Mancha;extranjera;2016;26.5;1.68
08 Castilla - La Mancha;Castilla - La Mancha;extranjera;2015;26.64;1.56
08 Castilla - La Mancha;Castilla - La Mancha;extranjera;2014;26.4;1.48
08 Castilla - La Mancha;Castilla - La Mancha;extranjera;2013;26.26;1.51
08 Castilla - La Mancha;Castilla - La Mancha;extranjera;2012;26.08;1.56
08 Castilla - La Mancha;Castilla - La Mancha;extranjera;2011;26.03;1.62
08 Castilla - La Mancha;Castilla - La Mancha;extranjera;2010;25.72;1.85
